molecule_chembl_id,type,standard_units,standard_value,smiles
CHEMBL248392,Ki,nM,8.4,COc1cc2c(N[C@@H]3C[C@H]3c3ccccc3)c(C#N)cnc2cc1OCCCN1CCOCC1
CHEMBL401251,Ki,nM,60.0,COCCOc1cc2ncc(C#N)c(N[C@@H]3C[C@H]3c3ccccc3)c2cc1OC
CHEMBL248391,Ki,nM,220.0,COc1cc2c(N[C@@H]3C[C@H]3c3ccccc3)c(C#N)cnc2cc1OCCCc1cccnc1
CHEMBL248222,Ki,nM,68.0,COc1cc2ncc(C#N)c(N[C@@H]3C[C@H]3c3ccccc3)c2cc1OCCCc1cccnc1
CHEMBL248221,Ki,nM,52.0,COc1cc2ncc(C#N)c(N[C@@H]3C[C@H]3c3ccccc3)c2cc1OCCCN1CCOCC1
CHEMBL401054,Ki,nM,64.0,COc1cc2ncc(C#N)c(N[C@@H]3C[C@H]3c3ccccc3)c2cc1OCCN1CCOCC1
CHEMBL248220,Ki,nM,120.0,COc1cc2ncc(C#N)c(N[C@@H]3C[C@H]3c3ccccc3)c2cc1OCc1ccccc1
CHEMBL401644,Ki,nM,360.0,COc1ccc2ncc(C#N)c(N[C@@H]3C[C@H]3c3ccccc3)c2c1
CHEMBL248045,Ki,nM,180.0,COc1ccc2c(N[C@@H]3C[C@H]3c3ccccc3)c(C#N)cnc2c1
CHEMBL257411,Ki,nM,1.6,C[C@@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4nccs4)c3)c12)C(=O)N1CCOCC1
CHEMBL29197,Ki,nM,0.006,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC
CHEMBL2372245,Ki,nM,20000.0,CC(C)C[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CCCNC(=N)N)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1c(F)c(F)c(O)c(F)c1F)C(=O)NCC(=O)O
CHEMBL939,Ki,nM,0.4,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1
CHEMBL1290177,Ki,nM,500.0,Clc1ccc(CNc2ccnc3oc4ccccc4c23)cc1
CHEMBL1290072,Ki,nM,400.0,COc1ccc(CNc2ccnc3oc4ccccc4c23)cc1
CHEMBL1290071,Ki,nM,680.0,c1ccc2c(CNc3ccnc4oc5ccccc5c34)cccc2c1
CHEMBL1289977,Ki,nM,3450.0,c1ccc(CCNc2ccnc3oc4ccccc4c23)cc1
CHEMBL1289976,Ki,nM,590.0,c1ccc(CNc2ccnc3oc4ccccc4c23)cc1
CHEMBL1682557,Ki,nM,67.0,CN(C)CCn1cnc(-c2ccc(F)cc2)c1-c1ccc2[nH]ncc2c1
CHEMBL1682558,Ki,nM,17.0,Fc1ccc(-c2ncn(CCN3CCOCC3)c2-c2ccc3[nH]ncc3c2)cc1
CHEMBL1682559,Ki,nM,27.0,Fc1ccc(-c2ncn(CCCN3CCOCC3)c2-c2ccc3[nH]ncc3c2)cc1
CHEMBL1682560,Ki,nM,8.0,Fc1ccc(-c2ncn(C3CCN(Cc4ccccc4)C3)c2-c2ccc3[nH]ncc3c2)cc1
CHEMBL2163772,Ki,nM,296000.0,Oc1ccc2oc3ncc(O)c(-c4ccccc4)c3c2c1
CHEMBL2170582,Ki,nM,35.0,CNC(=O)COc1cccc(Nc2ncc(F)c(Nc3ccc4c(c3)NC(=O)C(F)(F)O4)n2)c1
CHEMBL2437291,Ki,nM,2970.0,Cc1ccc(-c2csc(=N)n2CC(=O)N2CCN(c3ccccc3)CC2)cc1
CHEMBL2437292,Ki,nM,5820.0,N=c1scc(-c2ccc(Cl)cc2)n1CC(=O)N1CCN(c2ccccc2)CC1
CHEMBL2437293,Ki,nM,4680.0,N=c1scc(-c2ccccc2)n1CC(=O)N1CCN(c2ccccc2)CC1
CHEMBL2437294,Ki,nM,6090.0,CC(=O)N1CCN(C(=O)Cn2c(-c3ccc(C)cc3)csc2=N)CC1
CHEMBL2437295,Ki,nM,8580.0,CC(=O)N1CCN(C(=O)Cn2c(-c3ccc(Cl)cc3)csc2=N)CC1
CHEMBL2437297,Ki,nM,16770.0,CC(=O)N1CCN(C(=O)Cn2c(-c3ccccc3)csc2=N)CC1
CHEMBL2437296,Ki,nM,27400.0,Cc1ccc(-c2csc(=N)n2CC(=O)N2CCN(C)CC2)cc1
CHEMBL2437298,Ki,nM,15650.0,CN1CCN(C(=O)Cn2c(-c3ccc(Cl)cc3)csc2=N)CC1
CHEMBL2437300,Ki,nM,41580.0,CN1CCN(C(=O)Cn2c(-c3ccccc3)csc2=N)CC1
CHEMBL2437299,Ki,nM,22940.0,Cc1ccc(-c2csc(=N)n2CC(=O)N2CCOCC2)cc1
CHEMBL2437302,Ki,nM,6640.0,N=c1scc(-c2ccc(Cl)cc2)n1CC(=O)N1CCOCC1
CHEMBL2437301,Ki,nM,55290.0,N=c1scc(-c2ccccc2)n1CC(=O)N1CCOCC1
CHEMBL553,Ki,nM,0.1,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
CHEMBL3604921,Ki,nM,70.2,C=CC(=O)Nc1cccc(Oc2nc(Nc3cc(C)[nH]n3)cc(N3CCN(C)CC3)n2)c1
CHEMBL3604937,Ki,nM,833.0,C=CC(=O)Nc1cccc(Oc2nc(Nc3n[nH]c4ccccc34)cc(N3CCN(C)CC3)n2)c1
CHEMBL3604943,Ki,nM,1.58,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N1CCN(C)CC1
CHEMBL3545308,Ki,nM,1.75,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCN(C(C)=O)CC4)cc3OC)ncc2C(F)(F)F)c1
CHEMBL3758502,Ki,nM,2.0,CC1(C)OCc2c(Nc3n[nH]c4ccccc34)nc(-c3cn[nH]c3)nc21
CHEMBL3759002,Ki,nM,844.0,Cc1cc(Nc2nc(-c3cn[nH]c3)nc3c2COC3(C)C)n[nH]1
